Date,pr
05-03-2013,0.756694359
06-03-2013,0.822360421
07-03-2013,0.832298342
08-03-2013,0.772330072
09-03-2013,0.77052385
10-03-2013,0.81521463
11-03-2013,0.81997904
12-03-2013,0.810644864
13-03-2013,0.845066023
14-03-2013,0.749257529
15-03-2013,0.808636104
16-03-2013,0.810330293
17-03-2013,0.83386682
18-03-2013,0.853358717
19-03-2013,0.836312797
20-03-2013,0.814359192
21-03-2013,0.804228309
22-03-2013,0.763823879
23-03-2013,0.819499245
24-03-2013,0.775556279
25-03-2013,0.725631109
26-03-2013,0.750141453
27-03-2013,0.749850812
28-03-2013,0.827691186
29-03-2013,0.837649729
30-03-2013,0.744643961
31-03-2013,0.689389286
01-04-2013,0.888503332
02-04-2013,0.849689468
03-04-2013,0.701591091
04-04-2013,0.674643833
05-04-2013,0.903041458
06-04-2013,0.679645611
07-04-2013,0.84898425
08-04-2013,0.831488714
09-04-2013,0.825793345
10-04-2013,0.85590179
11-04-2013,0.859412189
12-04-2013,0.857205166
13-04-2013,0.850116184
14-04-2013,0.841637306
15-04-2013,0.832013564
16-04-2013,0.874976676
17-04-2013,0.863036529
18-04-2013,0.877491382
19-04-2013,0.87364893
20-04-2013,0.871237151
21-04-2013,0.838097187
22-04-2013,0.848585414
23-04-2013,0.81078467
24-04-2013,0.879860395
25-04-2013,0.880434044
26-04-2013,0.861027417
27-04-2013,0.861027417
28-04-2013,0.861027417
29-04-2013,0.861027417
30-04-2013,0.861027417
01-05-2013,0.861027417
02-05-2013,0.869460323
03-05-2013,0.882876496
04-05-2013,0.862224297
05-05-2013,0.810439827
06-05-2013,0.847738715
07-05-2013,0.840939595
08-05-2013,0.881391093
09-05-2013,0.768872059
10-05-2013,0.892743129
11-05-2013,0.680515993
12-05-2013,1.00186712
13-05-2013,0.848407591
14-05-2013,0.840061166
15-05-2013,0.926079108
16-05-2013,0.920845778
17-05-2013,0.776558667
18-05-2013,0.926748294
19-05-2013,0.921985457
20-05-2013,0.788438481
21-05-2013,0.885736839
22-05-2013,0.934613936
23-05-2013,0.816267809
24-05-2013,0.883237608
25-05-2013,0.905806712
26-05-2013,0.906412024
27-05-2013,0.868624836
28-05-2013,0.907104456
29-05-2013,0.904697494
30-05-2013,0.91918732
31-05-2013,0.738266481
01-06-2013,0.794376753
02-06-2013,0.785783547
03-06-2013,0.732281438
04-06-2013,0.811036214
05-06-2013,0.860671328
06-06-2013,0.822516376
07-06-2013,0.9486122
08-06-2013,0.834188012
09-06-2013,0.905891855
10-06-2013,0.91690056
11-06-2013,0.88935543
12-06-2013,0.913217099
13-06-2013,0.944949147
14-06-2013,0.943898562
15-06-2013,0.706179699
16-06-2013,0.944837813
17-06-2013,0.866014983
18-06-2013,0.747293608
19-06-2013,0.898013006
20-06-2013,0.862850734
21-06-2013,0.915436286
22-06-2013,0.906431771
23-06-2013,0.90004452
24-06-2013,0.727854803
25-06-2013,0.760133319
26-06-2013,0.772989864
27-06-2013,0.795768171
28-06-2013,0.802827839
29-06-2013,0.831317293
30-06-2013,0.933029219
01-07-2013,0.932447135
02-07-2013,0.408841155
03-07-2013,0.883493546
04-07-2013,0.877384269
05-07-2013,0.931180244
06-07-2013,0.900861666
07-07-2013,0.901405292
08-07-2013,0.851308592
09-07-2013,0.992889632
10-07-2013,0.751687758
11-07-2013,0.932375021
12-07-2013,0.929019306
13-07-2013,0.883420688
14-07-2013,0.948391709
15-07-2013,0.926102455
16-07-2013,0.92354246
17-07-2013,0.932748437
18-07-2013,0.888298988
19-07-2013,0.932332891
20-07-2013,0.929316745
21-07-2013,0.914860025
22-07-2013,0.919109571
23-07-2013,0.922022238
24-07-2013,0.910100641
25-07-2013,0.905860667
26-07-2013,0.883910875
27-07-2013,0.881874471
28-07-2013,0.868242118
29-07-2013,0.902384834
30-07-2013,0.915932479
31-07-2013,0.913049247
01-08-2013,0.892749017
02-08-2013,0.892878962
03-08-2013,0.894789908
04-08-2013,0.884210688
05-08-2013,0.866103857
06-08-2013,0.858213008
07-08-2013,0.862731777
08-08-2013,0.886302774
09-08-2013,0.874934181
10-08-2013,0.864160027
11-08-2013,0.870638421
12-08-2013,0.911886152
13-08-2013,0.88464081
14-08-2013,0.893838752
15-08-2013,0.860802842
16-08-2013,0.75665933
17-08-2013,0.855605799
18-08-2013,0.877445175
19-08-2013,0.808547512
20-08-2013,0.736033068
21-08-2013,0.861201427
22-08-2013,0.871687373
23-08-2013,0.860928665
24-08-2013,0.856669045
25-08-2013,0.845328557
26-08-2013,0.824827528
27-08-2013,0.810504305
28-08-2013,0.809192343
29-08-2013,0.815272805
30-08-2013,0.827684416
31-08-2013,0.805083327
01-09-2013,0.758208644
02-09-2013,0.673304215
03-09-2013,0.801102693
04-09-2013,0.789812076
05-09-2013,0.78208564
06-09-2013,0.782515225
07-09-2013,0.773685402
08-09-2013,0.806268783
09-09-2013,0.778361686
10-09-2013,0.803155945
11-09-2013,0.714025004
12-09-2013,0.728313241
13-09-2013,0.798976632
14-09-2013,0.745217169
15-09-2013,0.783919442
16-09-2013,0.816402849
17-09-2013,0.77972051
18-09-2013,0.797022693
19-09-2013,0.786493818
20-09-2013,0.777383292
21-09-2013,0.759794846
22-09-2013,0.767450004
23-09-2013,0.764258741
24-09-2013,0.743373867
25-09-2013,0.759942037
26-09-2013,0.794189915
27-09-2013,0.729852775
